Date,Store,Product,Is_Holiday,Base Price,Price,Weekly_Units_Sold,weekly_sales,year,month,day,week_of_year,promotion
05-02-2010,1,1,FALSE,9.99,7.99,245,1957.55,2010,2,5,5,1
12-02-2010,1,1,TRUE,9.99,7.99,453,3619.47,2010,2,12,6,1
19-02-2010,1,1,FALSE,9.99,7.99,409,3267.91,2010,2,19,7,1
26-02-2010,1,1,FALSE,9.99,7.99,191,1526.09,2010,2,26,8,1
05-03-2010,1,1,FALSE,9.99,9.99,145,1448.55,2010,3,5,9,0
12-03-2010,1,1,FALSE,9.99,9.99,140,1398.6,2010,3,12,10,0
19-03-2010,1,1,FALSE,9.99,9.99,147,1468.53,2010,3,19,11,0
26-03-2010,1,1,FALSE,9.99,9.99,175,1748.25,2010,3,26,12,0
02-04-2010,1,1,FALSE,9.99,9.99,382,3816.18,2010,4,2,13,0
09-04-2010,1,1,FALSE,9.99,9.99,287,2867.13,2010,4,9,14,0
16-04-2010,1,1,FALSE,9.99,9.99,117,1168.83,2010,4,16,15,0
23-04-2010,1,1,FALSE,9.99,9.99,107,1068.93,2010,4,23,16,0
30-04-2010,1,1,FALSE,9.99,9.99,111,1108.89,2010,4,30,17,0
07-05-2010,1,1,FALSE,9.99,7.99,171,1366.29,2010,5,7,18,1
14-05-2010,1,1,FALSE,9.99,7.99,186,1486.14,2010,5,14,19,1
21-05-2010,1,1,FALSE,9.99,7.99,145,1158.55,2010,5,21,20,1
28-05-2010,1,1,FALSE,9.99,7.99,153,1222.47,2010,5,28,21,1
04-06-2010,1,1,FALSE,9.99,9.99,117,1168.83,2010,6,4,22,0
11-06-2010,1,1,FALSE,9.99,9.99,111,1108.89,2010,6,11,23,0
18-06-2010,1,1,FALSE,9.99,9.99,108,1078.92,2010,6,18,24,0
25-06-2010,1,1,FALSE,9.99,9.99,109,1088.91,2010,6,25,25,0
02-07-2010,1,1,FALSE,9.99,9.99,109,1088.91,2010,7,2,26,0
09-07-2010,1,1,FALSE,9.99,9.99,118,1178.82,2010,7,9,27,0
16-07-2010,1,1,FALSE,9.99,9.99,115,1148.85,2010,7,16,28,0
23-07-2010,1,1,FALSE,9.99,9.99,103,1028.97,2010,7,23,29,0
30-07-2010,1,1,FALSE,9.99,9.99,103,1028.97,2010,7,30,30,0
06-08-2010,1,1,FALSE,9.99,9.99,117,1168.83,2010,8,6,31,0
13-08-2010,1,1,FALSE,9.99,9.99,103,1028.97,2010,8,13,32,0
20-08-2010,1,1,FALSE,9.99,9.99,105,1048.95,2010,8,20,33,0
27-08-2010,1,1,FALSE,9.99,9.99,105,1048.95,2010,8,27,34,0
03-09-2010,1,1,FALSE,9.99,9.99,108,1078.92,2010,9,3,35,0
10-09-2010,1,1,TRUE,9.99,9.99,121,1208.79,2010,9,10,36,0
17-09-2010,1,1,FALSE,9.99,9.99,129,1288.71,2010,9,17,37,0
24-09-2010,1,1,FALSE,9.99,9.99,121,1208.79,2010,9,24,38,0
01-10-2010,1,1,FALSE,9.99,9.99,134,1338.66,2010,10,1,39,0
08-10-2010,1,1,FALSE,9.99,9.99,156,1558.44,2010,10,8,40,0
15-10-2010,1,1,FALSE,9.99,9.99,180,1798.2,2010,10,15,41,0
22-10-2010,1,1,FALSE,9.99,9.99,170,1698.3,2010,10,22,42,0
29-10-2010,1,1,FALSE,9.99,9.99,257,2567.43,2010,10,29,43,0
05-11-2010,1,1,FALSE,9.99,9.99,228,2277.72,2010,11,5,44,0
12-11-2010,1,1,FALSE,9.99,9.99,130,1298.7,2010,11,12,45,0
19-11-2010,1,1,FALSE,9.99,9.99,131,1308.69,2010,11,19,46,0
26-11-2010,1,1,TRUE,9.99,9.99,125,1248.75,2010,11,26,47,0
03-12-2010,1,1,FALSE,9.99,9.99,150,1498.5,2010,12,3,48,0
10-12-2010,1,1,FALSE,9.99,9.99,210,2097.9,2010,12,10,49,0
17-12-2010,1,1,FALSE,9.99,9.99,299,2987.01,2010,12,17,50,0
24-12-2010,1,1,FALSE,9.99,9.99,373,3726.27,2010,12,24,51,0
31-12-2010,1,1,TRUE,9.99,9.99,127,1268.73,2010,12,31,52,0
07-01-2011,1,1,FALSE,10.99,10.99,93,1022.07,2011,1,7,1,0
14-01-2011,1,1,FALSE,10.99,10.99,100,1099,2011,1,14,2,0
21-01-2011,1,1,FALSE,10.99,10.99,100,1099,2011,1,21,3,0
28-01-2011,1,1,FALSE,10.99,10.99,107,1175.93,2011,1,28,4,0
04-02-2011,1,1,FALSE,10.99,8.79,185,1626.15,2011,2,4,5,1
11-02-2011,1,1,TRUE,10.99,8.79,323,2839.17,2011,2,11,6,1
18-02-2011,1,1,FALSE,10.99,8.79,399,3507.21,2011,2,18,7,1
25-02-2011,1,1,FALSE,10.99,8.79,165,1450.35,2011,2,25,8,1
04-03-2011,1,1,FALSE,10.99,10.99,117,1285.83,2011,3,4,9,0
11-03-2011,1,1,FALSE,10.99,10.99,123,1351.77,2011,3,11,10,0
18-03-2011,1,1,FALSE,10.99,10.99,117,1285.83,2011,3,18,11,0
25-03-2011,1,1,FALSE,10.99,10.99,121,1329.79,2011,3,25,12,0
01-04-2011,1,1,FALSE,10.99,10.99,118,1296.82,2011,4,1,13,0
08-04-2011,1,1,FALSE,10.99,10.99,138,1516.62,2011,4,8,14,0
15-04-2011,1,1,FALSE,10.99,10.99,166,1824.34,2011,4,15,15,0
22-04-2011,1,1,FALSE,10.99,10.99,292,3209.08,2011,4,22,16,0
29-04-2011,1,1,FALSE,10.99,10.99,240,2637.6,2011,4,29,17,0
06-05-2011,1,1,FALSE,10.99,8.79,171,1503.09,2011,5,6,18,1
13-05-2011,1,1,FALSE,10.99,8.79,147,1292.13,2011,5,13,19,1
20-05-2011,1,1,FALSE,10.99,8.79,129,1133.91,2011,5,20,20,1
27-05-2011,1,1,FALSE,10.99,8.79,134,1177.86,2011,5,27,21,1
03-06-2011,1,1,FALSE,10.99,10.99,95,1044.05,2011,6,3,22,0
10-06-2011,1,1,FALSE,10.99,10.99,92,1011.08,2011,6,10,23,0
17-06-2011,1,1,FALSE,10.99,10.99,87,956.13,2011,6,17,24,0
24-06-2011,1,1,FALSE,10.99,10.99,91,1000.09,2011,6,24,25,0
01-07-2011,1,1,FALSE,10.99,10.99,89,978.11,2011,7,1,26,0
08-07-2011,1,1,FALSE,10.99,10.99,93,1022.07,2011,7,8,27,0
15-07-2011,1,1,FALSE,10.99,10.99,91,1000.09,2011,7,15,28,0
22-07-2011,1,1,FALSE,10.99,10.99,91,1000.09,2011,7,22,29,0
29-07-2011,1,1,FALSE,10.99,10.99,92,1011.08,2011,7,29,30,0
05-08-2011,1,1,FALSE,10.99,10.99,89,978.11,2011,8,5,31,0
12-08-2011,1,1,FALSE,10.99,10.99,84,923.16,2011,8,12,32,0
19-08-2011,1,1,FALSE,10.99,10.99,85,934.15,2011,8,19,33,0
26-08-2011,1,1,FALSE,10.99,10.99,84,923.16,2011,8,26,34,0
02-09-2011,1,1,FALSE,10.99,10.99,88,967.12,2011,9,2,35,0
09-09-2011,1,1,TRUE,10.99,10.99,103,1131.97,2011,9,9,36,0
16-09-2011,1,1,FALSE,10.99,10.99,107,1175.93,2011,9,16,37,0
23-09-2011,1,1,FALSE,10.99,10.99,103,1131.97,2011,9,23,38,0
30-09-2011,1,1,FALSE,10.99,10.99,106,1164.94,2011,9,30,39,0
07-10-2011,1,1,FALSE,10.99,10.99,120,1318.8,2011,10,7,40,0
14-10-2011,1,1,FALSE,10.99,10.99,133,1461.67,2011,10,14,41,0
21-10-2011,1,1,FALSE,10.99,10.99,135,1483.65,2011,10,21,42,0
28-10-2011,1,1,FALSE,10.99,10.99,183,2011.17,2011,10,28,43,0
04-11-2011,1,1,FALSE,10.99,10.99,231,2538.69,2011,11,4,44,0
11-11-2011,1,1,FALSE,10.99,10.99,108,1186.92,2011,11,11,45,0
18-11-2011,1,1,FALSE,10.99,10.99,110,1208.9,2011,11,18,46,0
25-11-2011,1,1,TRUE,10.99,10.99,121,1329.79,2011,11,25,47,0
02-12-2011,1,1,FALSE,10.99,10.99,146,1604.54,2011,12,2,48,0
09-12-2011,1,1,FALSE,10.99,10.99,193,2121.07,2011,12,9,49,0
16-12-2011,1,1,FALSE,10.99,10.99,265,2912.35,2011,12,16,50,0
23-12-2011,1,1,FALSE,10.99,10.99,271,2978.29,2011,12,23,51,0
30-12-2011,1,1,TRUE,10.99,10.99,135,1483.65,2011,12,30,52,0
06-01-2012,1,1,FALSE,10.99,10.99,96,1055.04,2012,1,6,1,0
13-01-2012,1,1,FALSE,10.99,10.99,97,1066.03,2012,1,13,2,0
20-01-2012,1,1,FALSE,10.99,10.99,106,1164.94,2012,1,20,3,0
27-01-2012,1,1,FALSE,10.99,10.99,106,1164.94,2012,1,27,4,0
03-02-2012,1,1,FALSE,10.99,8.79,200,1758,2012,2,3,5,1
10-02-2012,1,1,TRUE,10.99,8.79,315,2768.85,2012,2,10,6,1
17-02-2012,1,1,FALSE,10.99,8.79,461,4052.19,2012,2,17,7,1
24-02-2012,1,1,FALSE,10.99,8.79,171,1503.09,2012,2,24,8,1
02-03-2012,1,1,FALSE,10.99,10.99,116,1274.84,2012,3,2,9,0
09-03-2012,1,1,FALSE,10.99,10.99,122,1340.78,2012,3,9,10,0
16-03-2012,1,1,FALSE,10.99,10.99,129,1417.71,2012,3,16,11,0
23-03-2012,1,1,FALSE,10.99,10.99,128,1406.72,2012,3,23,12,0
30-03-2012,1,1,FALSE,10.99,10.99,167,1835.33,2012,3,30,13,0
06-04-2012,1,1,FALSE,10.99,10.99,333,3659.67,2012,4,6,14,0
13-04-2012,1,1,FALSE,10.99,10.99,201,2208.99,2012,4,13,15,0
20-04-2012,1,1,FALSE,10.99,10.99,98,1077.02,2012,4,20,16,0
27-04-2012,1,1,FALSE,10.99,10.99,95,1044.05,2012,4,27,17,0
04-05-2012,1,1,FALSE,10.99,8.79,146,1283.34,2012,5,4,18,1
11-05-2012,1,1,FALSE,10.99,8.79,155,1362.45,2012,5,11,19,1
18-05-2012,1,1,FALSE,10.99,8.79,158,1388.82,2012,5,18,20,1
25-05-2012,1,1,FALSE,10.99,8.79,145,1274.55,2012,5,25,21,1
01-06-2012,1,1,FALSE,10.99,10.99,93,1022.07,2012,6,1,22,0
08-06-2012,1,1,FALSE,10.99,10.99,102,1120.98,2012,6,8,23,0
15-06-2012,1,1,FALSE,10.99,10.99,101,1109.99,2012,6,15,24,0
22-06-2012,1,1,FALSE,10.99,10.99,96,1055.04,2012,6,22,25,0
29-06-2012,1,1,FALSE,10.99,10.99,91,1000.09,2012,6,29,26,0
06-07-2012,1,1,FALSE,10.99,10.99,103,1131.97,2012,7,6,27,0
13-07-2012,1,1,FALSE,10.99,10.99,96,1055.04,2012,7,13,28,0
20-07-2012,1,1,FALSE,10.99,10.99,95,1044.05,2012,7,20,29,0
27-07-2012,1,1,FALSE,10.99,10.99,91,1000.09,2012,7,27,30,0
03-08-2012,1,1,FALSE,10.99,10.99,96,1055.04,2012,8,3,31,0
10-08-2012,1,1,FALSE,10.99,10.99,93,1022.07,2012,8,10,32,0
17-08-2012,1,1,FALSE,10.99,10.99,100,1099,2012,8,17,33,0
24-08-2012,1,1,FALSE,10.99,10.99,94,1033.06,2012,8,24,34,0
31-08-2012,1,1,FALSE,10.99,10.99,97,1066.03,2012,8,31,35,0
07-09-2012,1,1,TRUE,10.99,10.99,106,1164.94,2012,9,7,36,0
14-09-2012,1,1,FALSE,10.99,10.99,113,1241.87,2012,9,14,37,0
21-09-2012,1,1,FALSE,10.99,10.99,111,1219.89,2012,9,21,38,0
28-09-2012,1,1,FALSE,10.99,10.99,109,1197.91,2012,9,28,39,0
05-10-2012,1,1,FALSE,10.99,10.99,127,1395.73,2012,10,5,40,0
12-10-2012,1,1,FALSE,10.99,10.99,131,1439.69,2012,10,12,41,0
19-10-2012,1,1,FALSE,10.99,10.99,140,1538.6,2012,10,19,42,0
26-10-2012,1,1,FALSE,10.99,10.99,158,1736.42,2012,10,26,43,0
05-02-2010,1,2,FALSE,5.99,5.99,337,2018.63,2010,2,5,5,0
12-02-2010,1,2,TRUE,5.99,5.99,298,1785.02,2010,2,12,6,0
19-02-2010,1,2,FALSE,5.99,5.99,319,1910.81,2010,2,19,7,0
26-02-2010,1,2,FALSE,5.99,5.99,295,1767.05,2010,2,26,8,0
05-03-2010,1,2,FALSE,5.99,5.99,323,1934.77,2010,3,5,9,0
12-03-2010,1,2,FALSE,5.99,5.99,292,1749.08,2010,3,12,10,0
19-03-2010,1,2,FALSE,5.99,5.99,291,1743.09,2010,3,19,11,0
26-03-2010,1,2,FALSE,5.99,5.99,279,1671.21,2010,3,26,12,0
02-04-2010,1,2,FALSE,5.99,4.01,577,2313.77,2010,4,2,13,1
09-04-2010,1,2,FALSE,5.99,4.01,566,2269.66,2010,4,9,14,1
16-04-2010,1,2,FALSE,5.99,4.01,547,2193.47,2010,4,16,15,1
23-04-2010,1,2,FALSE,5.99,4.01,540,2165.4,2010,4,23,16,1
30-04-2010,1,2,FALSE,5.99,4.01,559,2241.59,2010,4,30,17,1
07-05-2010,1,2,FALSE,5.99,5.99,319,1910.81,2010,5,7,18,0
14-05-2010,1,2,FALSE,5.99,5.99,291,1743.09,2010,5,14,19,0
21-05-2010,1,2,FALSE,5.99,5.99,295,1767.05,2010,5,21,20,0
28-05-2010,1,2,FALSE,5.99,5.99,297,1779.03,2010,5,28,21,0
04-06-2010,1,2,FALSE,5.99,5.99,325,1946.75,2010,6,4,22,0
11-06-2010,1,2,FALSE,5.99,5.99,314,1880.86,2010,6,11,23,0
18-06-2010,1,2,FALSE,5.99,5.99,296,1773.04,2010,6,18,24,0
25-06-2010,1,2,FALSE,5.99,5.99,302,1808.98,2010,6,25,25,0
02-07-2010,1,2,FALSE,5.99,4.01,572,2293.72,2010,7,2,26,1
09-07-2010,1,2,FALSE,5.99,4.01,568,2277.68,2010,7,9,27,1
16-07-2010,1,2,FALSE,5.99,4.01,539,2161.39,2010,7,16,28,1
23-07-2010,1,2,FALSE,5.99,4.01,544,2181.44,2010,7,23,29,1
30-07-2010,1,2,FALSE,5.99,4.01,557,2233.57,2010,7,30,30,1
06-08-2010,1,2,FALSE,5.99,5.99,333,1994.67,2010,8,6,31,0
13-08-2010,1,2,FALSE,5.99,5.99,303,1814.97,2010,8,13,32,0
20-08-2010,1,2,FALSE,5.99,5.99,332,1988.68,2010,8,20,33,0
27-08-2010,1,2,FALSE,5.99,5.99,331,1982.69,2010,8,27,34,0
03-09-2010,1,2,FALSE,5.99,5.99,327,1958.73,2010,9,3,35,0
10-09-2010,1,2,TRUE,5.99,5.99,301,1802.99,2010,9,10,36,0
17-09-2010,1,2,FALSE,5.99,5.99,298,1785.02,2010,9,17,37,0
24-09-2010,1,2,FALSE,5.99,5.99,283,1695.17,2010,9,24,38,0
01-10-2010,1,2,FALSE,5.99,5.99,305,1826.95,2010,10,1,39,0
08-10-2010,1,2,FALSE,5.99,5.99,309,1850.91,2010,10,8,40,0
15-10-2010,1,2,FALSE,5.99,5.99,287,1719.13,2010,10,15,41,0
22-10-2010,1,2,FALSE,5.99,5.99,283,1695.17,2010,10,22,42,0
29-10-2010,1,2,FALSE,5.99,5.99,294,1761.06,2010,10,29,43,0
05-11-2010,1,2,FALSE,5.99,5.99,309,1850.91,2010,11,5,44,0
12-11-2010,1,2,FALSE,5.99,5.99,288,1725.12,2010,11,12,45,0
19-11-2010,1,2,FALSE,5.99,5.99,276,1653.24,2010,11,19,46,0
26-11-2010,1,2,TRUE,5.99,5.99,305,1826.95,2010,11,26,47,0
03-12-2010,1,2,FALSE,5.99,5.99,296,1773.04,2010,12,3,48,0
10-12-2010,1,2,FALSE,5.99,5.99,313,1874.87,2010,12,10,49,0
17-12-2010,1,2,FALSE,5.99,5.99,329,1970.71,2010,12,17,50,0
24-12-2010,1,2,FALSE,5.99,5.99,399,2390.01,2010,12,24,51,0
31-12-2010,1,2,TRUE,5.99,5.99,239,1431.61,2010,12,31,52,0
07-01-2011,1,2,FALSE,5.99,5.99,288,1725.12,2011,1,7,1,0
14-01-2011,1,2,FALSE,5.99,5.99,266,1593.34,2011,1,14,2,0
21-01-2011,1,2,FALSE,5.99,5.99,277,1659.23,2011,1,21,3,0
28-01-2011,1,2,FALSE,5.99,5.99,278,1665.22,2011,1,28,4,0
04-02-2011,1,2,FALSE,5.99,5.99,312,1868.88,2011,2,4,5,0
11-02-2011,1,2,TRUE,5.99,5.99,317,1898.83,2011,2,11,6,0
18-02-2011,1,2,FALSE,5.99,5.99,328,1964.72,2011,2,18,7,0
25-02-2011,1,2,FALSE,5.99,5.99,308,1844.92,2011,2,25,8,0
04-03-2011,1,2,FALSE,5.99,5.99,353,2114.47,2011,3,4,9,0
11-03-2011,1,2,FALSE,5.99,5.99,323,1934.77,2011,3,11,10,0
18-03-2011,1,2,FALSE,5.99,5.99,301,1802.99,2011,3,18,11,0
25-03-2011,1,2,FALSE,5.99,5.99,295,1767.05,2011,3,25,12,0
01-04-2011,1,2,FALSE,5.99,4.01,571,2289.71,2011,4,1,13,1
08-04-2011,1,2,FALSE,5.99,4.01,589,2361.89,2011,4,8,14,1
15-04-2011,1,2,FALSE,5.99,4.01,541,2169.41,2011,4,15,15,1
22-04-2011,1,2,FALSE,5.99,4.01,566,2269.66,2011,4,22,16,1
29-04-2011,1,2,FALSE,5.99,4.01,531,2129.31,2011,4,29,17,1
06-05-2011,1,2,FALSE,5.99,5.99,334,2000.66,2011,5,6,18,0
13-05-2011,1,2,FALSE,5.99,5.99,295,1767.05,2011,5,13,19,0
20-05-2011,1,2,FALSE,5.99,5.99,295,1767.05,2011,5,20,20,0
27-05-2011,1,2,FALSE,5.99,5.99,301,1802.99,2011,5,27,21,0
03-06-2011,1,2,FALSE,5.99,5.99,319,1910.81,2011,6,3,22,0
10-06-2011,1,2,FALSE,5.99,5.99,309,1850.91,2011,6,10,23,0
17-06-2011,1,2,FALSE,5.99,5.99,286,1713.14,2011,6,17,24,0
24-06-2011,1,2,FALSE,5.99,5.99,283,1695.17,2011,6,24,25,0
01-07-2011,1,2,FALSE,5.99,4.01,550,2205.5,2011,7,1,26,1
08-07-2011,1,2,FALSE,5.99,4.01,543,2177.43,2011,7,8,27,1
15-07-2011,1,2,FALSE,5.99,4.01,526,2109.26,2011,7,15,28,1
22-07-2011,1,2,FALSE,5.99,4.01,549,2201.49,2011,7,22,29,1
29-07-2011,1,2,FALSE,5.99,4.01,525,2105.25,2011,7,29,30,1
05-08-2011,1,2,FALSE,5.99,5.99,329,1970.71,2011,8,5,31,0
12-08-2011,1,2,FALSE,5.99,5.99,302,1808.98,2011,8,12,32,0
19-08-2011,1,2,FALSE,5.99,5.99,309,1850.91,2011,8,19,33,0
26-08-2011,1,2,FALSE,5.99,5.99,318,1904.82,2011,8,26,34,0
02-09-2011,1,2,FALSE,5.99,5.99,329,1970.71,2011,9,2,35,0
09-09-2011,1,2,TRUE,5.99,5.99,289,1731.11,2011,9,9,36,0
16-09-2011,1,2,FALSE,5.99,5.99,287,1719.13,2011,9,16,37,0
23-09-2011,1,2,FALSE,5.99,5.99,289,1731.11,2011,9,23,38,0
30-09-2011,1,2,FALSE,5.99,5.99,307,1838.93,2011,9,30,39,0
07-10-2011,1,2,FALSE,5.99,5.99,333,1994.67,2011,10,7,40,0
14-10-2011,1,2,FALSE,5.99,5.99,289,1731.11,2011,10,14,41,0
21-10-2011,1,2,FALSE,5.99,5.99,283,1695.17,2011,10,21,42,0
28-10-2011,1,2,FALSE,5.99,5.99,278,1665.22,2011,10,28,43,0
04-11-2011,1,2,FALSE,5.99,5.99,315,1886.85,2011,11,4,44,0
11-11-2011,1,2,FALSE,5.99,5.99,299,1791.01,2011,11,11,45,0
18-11-2011,1,2,FALSE,5.99,5.99,293,1755.07,2011,11,18,46,0
25-11-2011,1,2,TRUE,5.99,5.99,295,1767.05,2011,11,25,47,0
02-12-2011,1,2,FALSE,5.99,5.99,306,1832.94,2011,12,2,48,0
09-12-2011,1,2,FALSE,5.99,5.99,329,1970.71,2011,12,9,49,0
16-12-2011,1,2,FALSE,5.99,5.99,341,2042.59,2011,12,16,50,0
23-12-2011,1,2,FALSE,5.99,5.99,437,2617.63,2011,12,23,51,0
30-12-2011,1,2,TRUE,5.99,5.99,290,1737.1,2011,12,30,52,0
06-01-2012,1,2,FALSE,6.99,6.99,245,1712.55,2012,1,6,1,0
13-01-2012,1,2,FALSE,6.99,6.99,238,1663.62,2012,1,13,2,0
20-01-2012,1,2,FALSE,6.99,6.99,241,1684.59,2012,1,20,3,0
27-01-2012,1,2,FALSE,6.99,6.99,229,1600.71,2012,1,27,4,0
03-02-2012,1,2,FALSE,6.99,6.99,299,2090.01,2012,2,3,5,0
10-02-2012,1,2,TRUE,6.99,6.99,278,1943.22,2012,2,10,6,0
17-02-2012,1,2,FALSE,6.99,6.99,253,1768.47,2012,2,17,7,0
24-02-2012,1,2,FALSE,6.99,6.99,259,1810.41,2012,2,24,8,0
02-03-2012,1,2,FALSE,6.99,6.99,289,2020.11,2012,3,2,9,0
09-03-2012,1,2,FALSE,6.99,6.99,267,1866.33,2012,3,9,10,0
16-03-2012,1,2,FALSE,6.99,6.99,260,1817.4,2012,3,16,11,0
23-03-2012,1,2,FALSE,6.99,6.99,246,1719.54,2012,3,23,12,0
30-03-2012,1,2,FALSE,6.99,6.99,256,1789.44,2012,3,30,13,0
06-04-2012,1,2,FALSE,6.99,4.68,519,2428.92,2012,4,6,14,1
13-04-2012,1,2,FALSE,6.99,4.68,441,2063.88,2012,4,13,15,1
20-04-2012,1,2,FALSE,6.99,4.68,457,2138.76,2012,4,20,16,1
27-04-2012,1,2,FALSE,6.99,4.68,455,2129.4,2012,4,27,17,1
04-05-2012,1,2,FALSE,6.99,6.99,277,1936.23,2012,5,4,18,0
11-05-2012,1,2,FALSE,6.99,6.99,257,1796.43,2012,5,11,19,0
18-05-2012,1,2,FALSE,6.99,6.99,244,1705.56,2012,5,18,20,0
25-05-2012,1,2,FALSE,6.99,6.99,252,1761.48,2012,5,25,21,0
01-06-2012,1,2,FALSE,6.99,6.99,261,1824.39,2012,6,1,22,0
08-06-2012,1,2,FALSE,6.99,6.99,272,1901.28,2012,6,8,23,0
15-06-2012,1,2,FALSE,6.99,6.99,257,1796.43,2012,6,15,24,0
22-06-2012,1,2,FALSE,6.99,6.99,253,1768.47,2012,6,22,25,0
29-06-2012,1,2,FALSE,6.99,6.99,262,1831.38,2012,6,29,26,0
06-07-2012,1,2,FALSE,6.99,4.68,499,2335.32,2012,7,6,27,1
13-07-2012,1,2,FALSE,6.99,4.68,445,2082.6,2012,7,13,28,1
20-07-2012,1,2,FALSE,6.99,4.68,452,2115.36,2012,7,20,29,1
27-07-2012,1,2,FALSE,6.99,4.68,451,2110.68,2012,7,27,30,1
03-08-2012,1,2,FALSE,6.99,6.99,272,1901.28,2012,8,3,31,0
10-08-2012,1,2,FALSE,6.99,6.99,257,1796.43,2012,8,10,32,0
17-08-2012,1,2,FALSE,6.99,6.99,255,1782.45,2012,8,17,33,0
24-08-2012,1,2,FALSE,6.99,6.99,247,1726.53,2012,8,24,34,0
31-08-2012,1,2,FALSE,6.99,6.99,280,1957.2,2012,8,31,35,0
07-09-2012,1,2,TRUE,6.99,6.99,260,1817.4,2012,9,7,36,0
14-09-2012,1,2,FALSE,6.99,6.99,245,1712.55,2012,9,14,37,0
21-09-2012,1,2,FALSE,6.99,6.99,239,1670.61,2012,9,21,38,0
28-09-2012,1,2,FALSE,6.99,6.99,251,1754.49,2012,9,28,39,0
05-10-2012,1,2,FALSE,6.99,6.99,267,1866.33,2012,10,5,40,0
12-10-2012,1,2,FALSE,6.99,6.99,231,1614.69,2012,10,12,41,0
19-10-2012,1,2,FALSE,6.99,6.99,233,1628.67,2012,10,19,42,0
26-10-2012,1,2,FALSE,6.99,6.99,237,1656.63,2012,10,26,43,0
05-02-2010,1,3,FALSE,19.99,19.99,91,1819.09,2010,2,5,5,0
12-02-2010,1,3,TRUE,19.99,19.99,73,1459.27,2010,2,12,6,0
19-02-2010,1,3,FALSE,19.99,19.99,77,1539.23,2010,2,19,7,0
26-02-2010,1,3,FALSE,19.99,19.99,74,1479.26,2010,2,26,8,0
05-03-2010,1,3,FALSE,19.99,19.99,82,1639.18,2010,3,5,9,0
12-03-2010,1,3,FALSE,19.99,19.99,67,1339.33,2010,3,12,10,0
19-03-2010,1,3,FALSE,19.99,19.99,60,1199.4,2010,3,19,11,0
26-03-2010,1,3,FALSE,19.99,19.99,69,1379.31,2010,3,26,12,0
02-04-2010,1,3,FALSE,19.99,19.99,75,1499.25,2010,4,2,13,0
09-04-2010,1,3,FALSE,19.99,19.99,68,1359.32,2010,4,9,14,0
16-04-2010,1,3,FALSE,19.99,19.99,61,1219.39,2010,4,16,15,0
23-04-2010,1,3,FALSE,19.99,19.99,59,1179.41,2010,4,23,16,0
30-04-2010,1,3,FALSE,19.99,19.99,62,1239.38,2010,4,30,17,0
07-05-2010,1,3,FALSE,19.99,19.99,63,1259.37,2010,5,7,18,0
14-05-2010,1,3,FALSE,19.99,19.99,53,1059.47,2010,5,14,19,0
21-05-2010,1,3,FALSE,19.99,19.99,52,1039.48,2010,5,21,20,0
28-05-2010,1,3,FALSE,19.99,19.99,56,1119.44,2010,5,28,21,0
04-06-2010,1,3,FALSE,19.99,19.99,53,1059.47,2010,6,4,22,0
11-06-2010,1,3,FALSE,19.99,19.99,51,1019.49,2010,6,11,23,0
18-06-2010,1,3,FALSE,19.99,19.99,55,1099.45,2010,6,18,24,0
25-06-2010,1,3,FALSE,19.99,19.99,44,879.56,2010,6,25,25,0
02-07-2010,1,3,FALSE,19.99,10,209,2090,2010,7,2,26,1
09-07-2010,1,3,FALSE,19.99,10,217,2170,2010,7,9,27,1
16-07-2010,1,3,FALSE,19.99,10,367,3670,2010,7,16,28,1
23-07-2010,1,3,FALSE,19.99,10,451,4510,2010,7,23,29,1
30-07-2010,1,3,FALSE,19.99,10,558,5580,2010,7,30,30,1
06-08-2010,1,3,FALSE,19.99,19.99,178,3558.22,2010,8,6,31,0
13-08-2010,1,3,FALSE,19.99,19.99,204,4077.96,2010,8,13,32,0
20-08-2010,1,3,FALSE,19.99,19.99,274,5477.26,2010,8,20,33,0
27-08-2010,1,3,FALSE,19.99,19.99,341,6816.59,2010,8,27,34,0
03-09-2010,1,3,FALSE,19.99,19.99,127,2538.73,2010,9,3,35,0
10-09-2010,1,3,TRUE,19.99,19.99,81,1619.19,2010,9,10,36,0
17-09-2010,1,3,FALSE,19.99,19.99,71,1419.29,2010,9,17,37,0
24-09-2010,1,3,FALSE,19.99,19.99,54,1079.46,2010,9,24,38,0
01-10-2010,1,3,FALSE,19.99,19.99,65,1299.35,2010,10,1,39,0
08-10-2010,1,3,FALSE,19.99,19.99,67,1339.33,2010,10,8,40,0
15-10-2010,1,3,FALSE,19.99,19.99,65,1299.35,2010,10,15,41,0
22-10-2010,1,3,FALSE,19.99,19.99,57,1139.43,2010,10,22,42,0
29-10-2010,1,3,FALSE,19.99,19.99,62,1239.38,2010,10,29,43,0
05-11-2010,1,3,FALSE,19.99,10,262,2620,2010,11,5,44,1
12-11-2010,1,3,FALSE,19.99,10,244,2440,2010,11,12,45,1
19-11-2010,1,3,FALSE,19.99,10,245,2450,2010,11,19,46,1
26-11-2010,1,3,TRUE,19.99,10,285,2850,2010,11,26,47,1
03-12-2010,1,3,FALSE,19.99,19.99,73,1459.27,2010,12,3,48,0
10-12-2010,1,3,FALSE,19.99,19.99,75,1499.25,2010,12,10,49,0
17-12-2010,1,3,FALSE,19.99,19.99,80,1599.2,2010,12,17,50,0
24-12-2010,1,3,FALSE,19.99,19.99,81,1619.19,2010,12,24,51,0
